Unixtime,Baseline,CO2,A0,Fig1AkaCOZIR,FIG2,E2V_O3,E2V_NO2,E2V_1,E2V_2_CO_,E2V_3_VOC_,E2V_4,Temp,Rh,BMPtemp,MBPPressure,lat,latNs,lon,lonEw,b1,b2,x___,x____1,x____2,x____3,x____4,b8,onboard1,x____5,x____6,onboard4,statAux1,statSig1,statAux2,statSig2,statAux3,statSig3,statAux4,statSig4,file_data,predicted_NO2,predicted_CO,predicted_NO,predicted_CO2,predicted_COZIR,predicted_VOC,Date
735606.666996528,12.25,168.625,1023,85.125,161,0,0,0,0.125,0,0,35.4625,17.2875,38.7375,98687.625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,636.72125,NaN,45519.53,NaN,26126.955,NaN,46857.41875,0.0100315441026406,46.1759004884005,-16.6705126510141,90.3327126736111,-81.7090444077438,-145.329428067523,-0.0619449168556311,2014-01-07 16:00:28
735606.667685185,11.8888888888889,169.333333333333,1023,84.4444444444444,161.888888888889,0,0,0,0,0.111111111111111,0,35.5555555555556,17.3,39.0222222222222,98688.7777777778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,671.876666666667,NaN,45251.7333333333,NaN,25322.92,NaN,46989.5811111111,0.0100903355807078,45.1357994035879,-16.7002678361993,73.5819835069444,-76.5910289934856,-156.131897203326,-0.0834396258503401,2014-01-07 16:01:28
735606.668414352,11.8888888888889,167.222222222222,1023,86.2222222222222,162.777777777778,0,0,0,0,0.222222222222222,0,35.6777777777778,16.9444444444444,38.9333333333333,98685.2222222222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,463.543333333333,NaN,45062.4977777778,NaN,24855.9044444444,NaN,48786.4566666667,0.00995010792626766,51.2995074903729,-16.7212940090388,63.8524927662036,-91.8447219928433,-127.913202317964,-0.0834396258503401,2014-01-07 16:02:31
735606.669103009,12.25,169.5,1023,83.25,163,0,0,0,0,0,0,35.7875,16.6,38.45,98685.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,330.08125,NaN,45035.15375,NaN,24289.065,NaN,49433.59,0.00980686292987371,55.2480898375129,-16.7243322343474,52.0433376736111,-75.3867900724837,-175.091332829428,-0.0619449168556311,2014-01-07 16:03:30
735606.669791667,21.4444444444444,171.555555555556,1023,86.3333333333333,163.666666666667,0,0,0,0,0,0,35.8888888888889,17.1,38.4777777777778,98684.3333333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-12310.7622222222,NaN,99512.1511111111,NaN,44234.3755555556,NaN,23121.5255555556,0.0101589092123991,429.237541678407,-10.6713325275573,467.570640914352,-60.5345100467934,-126.149533887629,0.485343442932729,2014-01-07 16:04:30
735606.670480324,42.25,270,1023,135.625,164,0,0,0,0,0,0,35.9875,19.5125,38.4875,98683.625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-55640.62,NaN,308816.4025,NaN,139148.43625,NaN,-62230.4675,0.011655250446395,1711.18599664225,12.5846954045414,2444.94690538194,650.769279291678,656.257873519778,1.72376936885865,2014-01-07 16:05:29
735606.671168981,46.3333333333333,448.666666666667,1023,213.555555555556,164.777777777778,0,0,0,0,0,0.111111111111111,36.0666666666667,19.6444444444444,38.6,98687.2222222222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-49751.7333333333,NaN,626130.204444445,NaN,133529.514444444,NaN,-69970.4866666667,0.0117847859249975,1536.95858046868,47.8417845094797,2327.88603443287,1941.71340260574,1893.25081884606,1.96682492441421,2014-01-07 16:06:29
735606.671857639,52.625,451.25,1023,220.875,165,0,0,0,0,0.125,0,36.175,18.6125,38.85,98688.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-46388.66875,NaN,825302.73125,NaN,94476.565,NaN,-76750.0025,0.011232215159666,1437.45962829905,69.9720652656525,1514.28292100694,1960.37910588127,2009.43247669438,2.34132889266818,2014-01-07 16:07:28
735606.672546296,54.5555555555556,394.777777777778,1023,206.444444444444,165.444444444444,0,0,0,0,0,0,36.1888888888889,18.3777777777778,39.0666666666667,98688.6666666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-38031.2488888889,NaN,903354.163333333,NaN,80973.96,NaN,-68894.1011111111,0.0110989758479447,1190.19868566263,78.6444466082452,1232.97865017361,1552.34281814845,1780.37603930461,2.4562429138322,2014-01-07 16:08:28
735606.673275463,69.6666666666667,364.888888888889,1023,193.222222222222,166,0,0,0,0,0.111111111111111,0.111111111111111,36.2444444444444,18.7555555555556,39.2,98688.3333333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,-48812.4966666667,NaN,802581.595555556,NaN,90192.7111111111,NaN,-81552.0866666667,0.0113617475669477,1509.17051340753,67.4474946329365,1425.03596498843,1336.38263831544,1570.49949609473,3.3557138133031,2014-01-07 16:09:31
