Unixtime,Baseline,CO2,A0,Fig1akaCOZIR,FIG2,E2V_O3,E2V_NO2,E2V_1,E2V_2_CO_,E2V_3_VOC_,E2V_4,Temp,Rh,BMPtemp,MBPPressure,lat,latNs,lon,lonEw,b1,b2,x___,x____1,x____2,x____3,x____4,b8,onboard1,x____5,x____6,onboard4,statAux1,statSig1,statAux2,statSig2,statAux3,statSig3,statAux4,statSig4,file_data,predicted_NO2,predicted_CO,predicted_NO,predicted_CO2,predicted_COZIR,predicted_VOC,Date
735670.678825232,18.75,181.875,1023,120.375,173,0,0,0,0.125,409.75,0,42.2875,25.6,47.4125,98579.375,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21171.87875,NaN,36365.23125,NaN,66396.48625,NaN,76148.44,0.0214720981262839,3.31388888888887,-0.0619661177248684,-12.5771135085979,2.92458023671892,-5.0705467372136,-0.450396825396826,2014-03-12 16:17:30
735670.679513889,19,179.888888888889,1023,121.444444444444,173.777777777778,0,0,0,0,410.333333333333,0,42.4444444444444,25.1777777777778,47.3888888888889,98580.8888888889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21145.8366666667,NaN,36152.7744444444,NaN,65993.0577777778,NaN,77373.2655555556,0.0212922419882096,4.08436472715319,-0.0855724294532637,-20.9818733465609,-11.4259335718874,11.9047619047617,-0.200396825396826,2014-03-12 16:18:30
735670.680202546,18.375,180.875,1023,120.625,174,0,0,0,0,410.875,0,42.6,25.075,47.3875,98578.375,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21576.17625,NaN,35955.075,NaN,65466.795,NaN,77115.23625,0.0213794500416835,-8.64757560815246,-0.107539034391534,-31.9456812169313,-4.30085328929264,-1.10229276895964,-0.825396825396826,2014-03-12 16:19:29
735670.680891204,18.4444444444444,180.555555555556,1023,123.888888888889,174.333333333333,0,0,0,0,411,0,42.7222222222222,24.9555555555556,47.5,98577.7777777778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21753.4744444444,NaN,35810.7611111111,NaN,65065.97,NaN,77604.1677777778,0.0214143311943709,-13.8930843195266,-0.123573910934745,-40.2962020502646,-6.60897788787976,50.7054673721338,-0.755952380952383,2014-03-12 16:20:29
735670.681587095,18.125,178.625,1023,122.875,175,0,0,0,0,411.5,0,42.85,24.7625,47.6125,98574.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21638.6725,NaN,35634.7625,NaN,64900.38875,NaN,79001.95625,0.02139179917558,-10.4965770874424,-0.143129312169312,-43.7458114252646,-20.5580787228187,34.6119929453261,-1.07539682539683,2014-03-12 16:21:29
735670.682280093,17.8888888888889,182.444444444444,1023,122.111111111111,175.333333333333,0,0,0,0,411.666666666667,0,42.9777777777778,24.5555555555556,47.7333333333333,98573.5555555556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21130.2111111111,NaN,35427.0811111111,NaN,64739.58,NaN,81552.0866666667,0.0213554387449205,4.54665927021693,-0.166205022045856,-47.0959937169314,7.03906321680892,22.4867724867723,-1.31150793650794,2014-03-12 16:22:29
735670.68296875,17.875,181.625,1023,125,176,0,0,0,0,412,0,43.125,24.3625,47.7,98572.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21171.8775,NaN,35263.66875,NaN,64474.6075,NaN,82943.36125,0.0213511710326665,3.31392587113743,-0.184361951058202,-52.616254133598,1.11822185521603,68.3421516754848,-1.32539682539683,2014-03-12 16:23:28
735670.683657408,18.3333333333333,181.111111111111,1023,124.777777777778,176,0,0,0,0,412,0,43.2555555555556,24.4666666666667,47.6333333333333,98574.5555555556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,21942.7111111111,NaN,35276.0377777778,NaN,64124.9966666667,NaN,82175.35,0.0215886015439125,-19.4918022682446,-0.182987614638448,-59.8998131613757,-2.59484815120656,64.8148148148145,-0.867063492063494,2014-03-12 16:24:28
735670.684386574,17.6666666666667,180.111111111111,1023,123,176.111111111111,0,0,0,0,412.222222222222,0,43.3666666666667,24.2777777777778,47.5111111111111,98579.6666666667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,22041.6688888889,NaN,35173.6088888889,NaN,63829.8577777778,NaN,83112.85,0.021545211191532,-22.4195471729125,-0.19436860229277,-66.0485400132276,-9.82028167721812,36.5961199294531,-1.53373015873016,2014-03-12 16:25:31
735670.685075231,18,181.25,1023,123.875,177,0,0,0,0.25,412.625,0,43.475,24.15,47.625,98579.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NaN,22000.00375,NaN,35087.8875,NaN,63779.29375,NaN,84767.58125,0.021553007510181,-21.1868507560814,-0.203893201058202,-67.101957258598,-1.59131571703831,50.485008818342,-1.20039682539683,2014-03-12 16:26:30
